OBS_STATUS;OBS_VALUE;TEL_SZ_ADAT;TERUL_GEO5;TIME_PERIOD
null;667;RE_CA;024;2011
null;64;RE_CD;024;2011
null;26;RE_GC;024;2011
null;0;RE_J;024;2011
null;228;RE_LU;024;2011
null;840;RE_NOT;024;2011
Q;null;RE_OC;024;2011
null;20;RE_OCD;024;2011
null;7785;RE_RC;024;2011
null;311;RE_CA;025;2011
null;66;RE_CD;025;2011
null;13;RE_GC;025;2011
null;3;RE_J;025;2011
null;278;RE_LU;025;2011
null;1748;RE_NOT;025;2011
null;5;RE_OC;025;2011
null;17;RE_OCD;025;2011
null;8067;RE_RC;025;2011
null;1192;RE_CA;026;2011
null;368;RE_CD;026;2011
null;80;RE_GC;026;2011
null;8;RE_J;026;2011
null;607;RE_LU;026;2011
null;10346;RE_NOT;026;2011
null;17;RE_OC;026;2011
null;69;RE_OCD;026;2011
null;13060;RE_RC;026;2011
null;1582;RE_CA;027;2011
null;229;RE_CD;027;2011
null;62;RE_GC;027;2011
null;8;RE_J;027;2011
null;275;RE_LU;027;2011
null;3436;RE_NOT;027;2011
null;68;RE_OC;027;2011
null;50;RE_OCD;027;2011
null;21152;RE_RC;027;2011
null;9625;RE_CA;028;2011
null;2930;RE_CD;028;2011
null;684;RE_GC;028;2011
null;100;RE_J;028;2011
null;2589;RE_LU;028;2011
null;39018;RE_NOT;028;2011
null;173;RE_OC;028;2011
null;1042;RE_OCD;028;2011
null;77799;RE_RC;028;2011
null;1062;RE_CA;029;2011
null;85;RE_CD;029;2011
null;18;RE_GC;029;2011
Q;null;RE_J;029;2011
null;248;RE_LU;029;2011
null;887;RE_NOT;029;2011
null;5;RE_OC;029;2011
null;17;RE_OCD;029;2011
null;6703;RE_RC;029;2011
null;2169;RE_CA;030;2011
null;91;RE_CD;030;2011
null;46;RE_GC;030;2011
Q;null;RE_J;030;2011
null;19;RE_LU;030;2011
null;1642;RE_NOT;030;2011
Q;null;RE_OC;030;2011
null;14;RE_OCD;030;2011
null;8112;RE_RC;030;2011
null;4978;RE_CA;031;2011
null;185;RE_CD;031;2011
null;134;RE_GC;031;2011
null;8;RE_J;031;2011
null;241;RE_LU;031;2011
null;3913;RE_NOT;031;2011
null;69;RE_OC;031;2011
null;98;RE_OCD;031;2011
null;18189;RE_RC;031;2011
null;652;RE_CA;032;2011
null;94;RE_CD;032;2011
null;26;RE_GC;032;2011
null;5;RE_J;032;2011
null;52;RE_LU;032;2011
null;2161;RE_NOT;032;2011
null;9;RE_OC;032;2011
null;17;RE_OCD;032;2011
null;8196;RE_RC;032;2011
null;2536;RE_CA;033;2011
null;236;RE_CD;033;2011
null;41;RE_GC;033;2011
Q;null;RE_J;033;2011
null;64;RE_LU;033;2011
null;4446;RE_NOT;033;2011
null;5;RE_OC;033;2011
null;29;RE_OCD;033;2011
null;11686;RE_RC;033;2011
null;563;RE_CA;024;2022
null;79;RE_CD;024;2022
null;36;RE_GC;024;2022
null;0;RE_J;024;2022
null;164;RE_LU;024;2022
null;1052;RE_NOT;024;2022
null;5;RE_OC;024;2022
null;15;RE_OCD;024;2022
null;5450;RE_RC;024;2022
null;199;RE_CA;025;2022
null;126;RE_CD;025;2022
null;18;RE_GC;025;2022
null;3;RE_J;025;2022
null;182;RE_LU;025;2022
null;1550;RE_NOT;025;2022
null;3;RE_OC;025;2022
null;10;RE_OCD;025;2022
null;4762;RE_RC;025;2022
null;922;RE_CA;026;2022
null;466;RE_CD;026;2022
null;74;RE_GC;026;2022
null;7;RE_J;026;2022
null;412;RE_LU;026;2022
null;7916;RE_NOT;026;2022
null;12;RE_OC;026;2022
null;57;RE_OCD;026;2022
null;8689;RE_RC;026;2022
null;1244;RE_CA;027;2022
null;308;RE_CD;027;2022
null;75;RE_GC;027;2022
null;8;RE_J;027;2022
null;213;RE_LU;027;2022
null;3134;RE_NOT;027;2022
null;40;RE_OC;027;2022
null;44;RE_OCD;027;2022
null;14510;RE_RC;027;2022
null;7519;RE_CA;028;2022
null;3131;RE_CD;028;2022
null;597;RE_GC;028;2022
null;82;RE_J;028;2022
null;1981;RE_LU;028;2022
null;29850;RE_NOT;028;2022
null;159;RE_OC;028;2022
null;883;RE_OCD;028;2022
null;52457;RE_RC;028;2022
null;938;RE_CA;029;2022
null;89;RE_CD;029;2022
null;22;RE_GC;029;2022
null;0;RE_J;029;2022
null;167;RE_LU;029;2022
null;1079;RE_NOT;029;2022
Q;null;RE_OC;029;2022
null;26;RE_OCD;029;2022
null;4677;RE_RC;029;2022
null;1442;RE_CA;030;2022
null;82;RE_CD;030;2022
null;32;RE_GC;030;2022
Q;null;RE_J;030;2022
null;13;RE_LU;030;2022
null;1272;RE_NOT;030;2022
null;8;RE_OC;030;2022
null;12;RE_OCD;030;2022
null;5266;RE_RC;030;2022
null;3625;RE_CA;031;2022
null;224;RE_CD;031;2022
null;136;RE_GC;031;2022
null;3;RE_J;031;2022
null;184;RE_LU;031;2022
null;4036;RE_NOT;031;2022
null;51;RE_OC;031;2022
null;79;RE_OCD;031;2022
null;12805;RE_RC;031;2022
null;456;RE_CA;032;2022
null;141;RE_CD;032;2022
null;36;RE_GC;032;2022
Q;null;RE_J;032;2022
null;46;RE_LU;032;2022
null;2499;RE_NOT;032;2022
null;6;RE_OC;032;2022
null;37;RE_OCD;032;2022
null;5279;RE_RC;032;2022
null;1810;RE_CA;033;2022
null;265;RE_CD;033;2022
null;46;RE_GC;033;2022
null;7;RE_J;033;2022
null;31;RE_LU;033;2022
null;4103;RE_NOT;033;2022
null;6;RE_OC;033;2022
null;29;RE_OCD;033;2022
null;7711;RE_RC;033;2022
